2.500000000000000000e-01 9.392818753762823825e-01 1.187635659153204494e-03
5.000000000000000000e-01 8.821339875320935997e-01 2.051890860050615585e-03
7.500000000000000000e-01 8.213819619790169169e-01 3.177851840851843648e-03
1.000000000000000000e+00 7.635953946277973525e-01 4.180394813686397378e-03
1.250000000000000000e+00 6.986574170216458546e-01 5.560727360161884375e-03
1.500000000000000000e+00 6.448938945424345093e-01 6.466338276006359555e-03
1.750000000000000000e+00 5.836554791253234509e-01 7.838052748868484451e-03
2.000000000000000000e+00 5.213566741941018101e-01 8.592484849800805305e-03
2.250000000000000000e+00 4.772070085613797086e-01 8.456366867800341885e-03
2.500000000000000000e+00 4.299869740371813354e-01 9.037772366557514717e-03
2.750000000000000000e+00 3.958277041014606201e-01 9.322358335131742876e-03
3.000000000000000000e+00 3.702175845919299380e-01 1.071288771683275021e-02
3.250000000000000000e+00 3.413708208813431844e-01 9.671290974283071676e-03
3.500000000000000000e+00 3.068385915213133752e-01 1.009721782339947568e-02
3.750000000000000000e+00 2.888876013523806741e-01 9.709906171872043426e-03
4.000000000000000000e+00 2.541809442207885739e-01 9.092546695528853223e-03
4.250000000000000000e+00 2.489717904381109626e-01 9.530782635557843996e-03
4.500000000000000000e+00 2.048647507815489488e-01 9.527708005123442653e-03
4.750000000000000000e+00 2.272937515078072013e-01 9.454539825929192745e-03
5.000000000000000000e+00 2.162578071780084377e-01 9.602912541583550482e-03
5.250000000000000000e+00 1.905282861096368185e-01 1.000664997056262967e-02
5.500000000000000000e+00 1.982795623062237333e-01 9.657299313865689780e-03
5.750000000000000000e+00 1.763330033019368248e-01 9.679276849180505973e-03
6.000000000000000000e+00 1.765350399421621030e-01 9.506313006321820414e-03
6.250000000000000000e+00 1.731626773733827007e-01 9.109767255899315144e-03
6.500000000000000000e+00 1.592597285823893205e-01 9.399116495596940984e-03
6.750000000000000000e+00 1.539017609102993067e-01 9.976422811254674963e-03
7.000000000000000000e+00 1.539489102653992803e-01 9.067280782225250330e-03
